date,player,consensus_implied,best_price,homered,flat_bet_pl
2026-06-06,Shohei Ohtani,0.296,250,True,25.0
2026-06-07,Kyle Schwarber,0.314,235,False,-10.0
2026-06-07,Shea Langeliers,0.267,280,False,-10.0
2026-06-07,Byron Buxton,0.267,275,False,-10.0
2026-06-07,Gary Sanchez,0.255,305,True,30.5
2026-06-07,Shohei Ohtani,0.258,300,False,-10.0
2026-06-07,Juan Soto,0.255,300,False,-10.0
2026-06-08,Ben Rice,0.251,310,False,-10.0
2026-06-08,Kyle Schwarber,0.268,290,False,-10.0
2026-06-08,Yordan Alvarez,0.323,220,False,-10.0
2026-06-08,Shea Langeliers,0.307,240,True,24.0
2026-06-09,Ben Rice,0.278,295,False,-10.0
2026-06-09,Byron Buxton,0.271,285,True,28.5
2026-06-09,Kyle Schwarber,0.268,285,False,-10.0
2026-06-09,Pete Crow-Armstrong,0.302,235,False,-10.0
2026-06-09,Yordan Alvarez,0.274,300,False,-10.0
2026-06-09,Shea Langeliers,0.36,200,False,-10.0
2026-06-10,Byron Buxton,0.285,290,True,29.0
2026-06-10,Shohei Ohtani,0.26,300,True,30.0
2026-06-10,Kyle Schwarber,0.38,175,True,17.5
2026-06-10,Corey Seager,0.259,300,False,-10.0
2026-06-10,Hunter Goodman,0.323,210,False,-10.0
2026-06-10,Nick Kurtz,0.395,160,False,-10.0
2026-06-10,Yordan Alvarez,0.265,300,False,-10.0
2026-06-11,Byron Buxton,0.29,255,False,-10.0
2026-06-11,Corey Seager,0.254,310,True,31.0
2026-06-11,Hunter Goodman,0.265,300,False,-10.0
2026-06-11,Shohei Ohtani,0.293,250,True,25.0
2026-06-12,Julio Rodriguez,0.252,310,False,-10.0
2026-06-12,Juan Soto,0.262,300,True,30.0
2026-06-12,Ketel Marte,0.292,250,False,-10.0
2026-06-12,Shohei Ohtani,0.294,240,False,-10.0
2026-06-12,Byron Buxton,0.265,310,True,31.0
2026-06-12,Junior Caminero,0.271,275,False,-10.0
2026-06-12,Nick Kurtz,0.405,175,True,17.5
2026-06-13,Byron Buxton,0.273,310,True,31.0
2026-06-13,James Wood,0.262,300,False,-10.0
2026-06-13,Pete Alonso,0.252,350,True,35.0
2026-06-13,Shohei Ohtani,0.294,265,True,26.5
2026-06-13,Corbin Carroll,0.265,300,True,30.0
2026-06-13,Yordan Alvarez,0.286,260,False,-10.0
2026-06-13,Kyle Schwarber,0.29,260,False,-10.0
2026-06-13,Shea Langeliers,0.42,145,False,-10.0
2026-06-14,Pete Alonso,0.276,300,False,-10.0
2026-06-14,James Wood,0.286,275,True,27.5
2026-06-14,Ketel Marte,0.301,250,False,-10.0
2026-06-14,Juan Soto,0.278,275,False,-10.0
2026-06-14,Shohei Ohtani,0.316,225,False,-10.0
2026-06-14,Kyle Schwarber,0.263,300,False,-10.0
2026-06-14,Nick Kurtz,0.383,165,False,-10.0
2026-06-14,Junior Caminero,0.26,300,True,30.0
2026-06-15,Kyle Schwarber,0.331,225,False,-10.0
2026-06-15,Juan Soto,0.263,300,False,-10.0
2026-06-15,Hunter Goodman,0.306,275,False,-10.0
2026-06-15,Yordan Alvarez,0.272,275,False,-10.0
2026-06-15,Nick Kurtz,0.298,250,True,25.0
2026-06-15,Shohei Ohtani,0.339,200,False,-10.0
2026-06-16,Kyle Schwarber,0.308,240,True,24.0
2026-06-16,James Wood,0.256,300,False,-10.0
2026-06-16,Ben Rice,0.256,300,True,30.0
2026-06-16,Juan Soto,0.328,225,False,-10.0
2026-06-16,Pete Crow-Armstrong,0.256,305,True,30.5
2026-06-16,Byron Buxton,0.275,275,False,-10.0
2026-06-16,Nick Kurtz,0.315,230,False,-10.0
